country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-05,-20.0,-12.0,16.0,-38.0,-43.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-06,-19.0,-13.0,36.0,-39.0,-43.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-07,-19.0,-11.0,57.0,-37.0,-44.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-08,-21.0,-12.0,-3.0,-39.0,-43.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-09,-22.0,-15.0,1.0,-20.0,-16.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-10,-15.0,-16.0,-26.0,-21.0,-11.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-11,-24.0,-14.0,-11.0,-40.0,-46.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-12,-23.0,-14.0,-9.0,-40.0,-46.0,12.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-13,-23.0,-14.0,0.0,-42.0,-46.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-14,-23.0,-13.0,-3.0,-39.0,-46.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-15,-19.0,-10.0,21.0,-39.0,-48.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-16,-20.0,-11.0,4.0,-19.0,-18.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-17,-26.0,-15.0,31.0,-19.0,-19.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-18,-25.0,-18.0,-33.0,-41.0,-42.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-19,-20.0,-12.0,22.0,-38.0,-40.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-20,-21.0,-15.0,-5.0,-38.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-21,-22.0,-14.0,-4.0,-38.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-22,-20.0,-12.0,31.0,-37.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-23,-19.0,-14.0,56.0,-15.0,-15.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-24,-7.0,-13.0,47.0,-16.0,-10.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-25,-23.0,-13.0,-11.0,-38.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-26,-20.0,-10.0,11.0,-38.0,-39.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-27,-19.0,-10.0,23.0,-38.0,-40.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-28,-21.0,-11.0,8.0,-36.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-29,-18.0,-10.0,27.0,-35.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-04-30,-19.0,-12.0,30.0,-14.0,-15.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-01,-8.0,-10.0,34.0,-17.0,-9.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-02,-22.0,-12.0,-18.0,-39.0,-42.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-03,-18.0,-8.0,15.0,-37.0,-40.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-04,-14.0,-8.0,40.0,-34.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-05,-19.0,-9.0,-24.0,-37.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-06,-20.0,-10.0,-10.0,-35.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-07,-17.0,-6.0,9.0,-15.0,-16.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-08,0.0,-4.0,31.0,-14.0,-10.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-09,-21.0,-11.0,5.0,-37.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-10,-16.0,-7.0,39.0,-35.0,-40.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-11,-18.0,-9.0,32.0,-36.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-12,-23.0,-11.0,-16.0,-37.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-13,-19.0,-9.0,25.0,-34.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-14,-20.0,-13.0,44.0,-11.0,-17.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-15,-14.0,-15.0,-29.0,-12.0,-11.0,3.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-16,-21.0,-10.0,16.0,-36.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-17,-19.0,-9.0,32.0,-35.0,-39.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-18,-19.0,-10.0,15.0,-37.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-19,-19.0,-8.0,28.0,-35.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-20,-19.0,-9.0,39.0,-34.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-21,-18.0,-11.0,81.0,-9.0,-17.0,-1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-22,-7.0,-10.0,65.0,-10.0,-10.0,0.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-23,-20.0,-10.0,18.0,-36.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-24,-19.0,-10.0,10.0,-34.0,-40.0,11.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-25,-17.0,-8.0,46.0,-34.0,-41.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-26,-19.0,-9.0,2.0,-35.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-27,-17.0,-7.0,36.0,-35.0,-46.0,9.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-28,-24.0,-16.0,1.0,-17.0,-22.0,2.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-29,-9.0,-18.0,-19.0,-18.0,-15.0,1.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-30,-17.0,-9.0,54.0,-46.0,-79.0,15.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-05-31,-17.0,-6.0,57.0,-33.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-06-01,-19.0,-7.0,30.0,-36.0,-40.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-06-02,-20.0,-8.0,19.0,-35.0,-40.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-06-03,-20.0,-9.0,4.0,-35.0,-41.0,10.0
US,United States,Washington,King County,,,53033.0,ChIJN3gtg4xckFQRPuBki2urgOI,2022-06-04,-17.0,-11.0,44.0,-10.0,-16.0,1.0
